aX,aY,aZ,gX,gY,gZ
0.621,0.307,-0.102,8.240,-18.677,-0.488
0.689,0.425,-0.108,9.094,-7.141,-30.762
0.786,0.560,-0.033,17.090,-1.709,-55.237
0.870,0.681,0.018,22.034,-3.235,-71.411
0.953,0.722,0.006,25.208,-6.836,-71.960
0.995,0.657,-0.021,21.851,-10.559,-56.152
1.006,0.601,-0.037,0.549,-9.338,-31.372
0.976,0.516,-0.002,-33.936,-12.817,-16.846
1.001,0.435,-0.001,-38.879,-15.808,-8.728
0.991,0.423,-0.006,-41.138,-21.057,-4.150
0.972,0.433,-0.060,-36.682,-24.292,-4.395
0.924,0.488,-0.063,-17.944,-26.123,-3.296
0.868,0.520,-0.068,-2.197,-25.269,0.305
0.855,0.511,-0.068,1.282,-21.973,5.859
0.879,0.492,-0.009,7.263,-18.250,12.573
0.920,0.480,0.037,13.062,-15.564,18.188
0.951,0.499,0.052,8.972,-15.564,19.592
0.983,0.509,0.045,2.014,-16.846,13.733
0.966,0.529,0.050,-4.333,-16.541,9.766
0.924,0.599,0.060,-11.841,-13.000,8.728
0.883,0.637,0.034,-16.968,-8.301,5.432
0.860,0.655,0.023,-17.273,-6.653,-1.160
0.849,0.669,0.039,-16.235,-7.385,-8.484
0.859,0.646,0.046,-14.648,-8.118,-16.541
0.890,0.614,0.068,-10.620,-10.559,-22.644
0.906,0.547,0.054,-7.751,-14.893,-24.170
0.910,0.461,0.008,-8.362,-19.531,-19.958
0.885,0.403,-0.024,-7.385,-22.949,-10.132
0.850,0.387,-0.029,-9.644,-23.682,1.770
0.822,0.371,-0.021,-8.789,-22.461,10.681
0.813,0.404,-0.023,-2.197,-21.851,15.198
0.824,0.433,-0.021,8.972,-19.836,14.465
0.821,0.496,0.001,17.761,-16.296,10.437
0.839,0.536,0.026,20.508,-13.000,1.831
0.860,0.556,0.065,21.301,-11.963,-8.179
0.901,0.559,0.068,18.372,-9.155,-17.151

0.536,-0.037,0.831,-8.667,-1.282,2.747
0.538,-0.027,0.808,-7.935,-2.014,2.075
0.525,-0.027,0.794,-5.737,-3.357,1.282
0.523,-0.021,0.792,-4.272,-3.540,0.610
0.523,-0.007,0.796,-1.892,-3.235,-0.488
